House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
9,Bennett Isle,Billy,Holden,35,Husband,Married,Male,Dispensing optician,None,Catholic
10,Bennett Isle,Holly,Wilson,45,Head,Single,Female,Chiropodist,None,None
10,Bennett Isle,Jonathan,Bennett,46,Partner,Single,Male,"Exhibitions officer, museum/gallery",None,None
10,Bennett Isle,Gemma,Wilson,8,Daughter,NA,Female,Student,None,NA
10,Bennett Isle,Patricia,Wilson,8,Daughter,NA,Female,Student,None,NA
10,Bennett Isle,Sam,Wilson,6,Son,NA,Male,Student,None,NA
11,Bennett Isle,Abbie,Jones,50,Head,Married,Female,Orthoptist,None,None
11,Bennett Isle,Nathan,Jones,56,Husband,Married,Male,Exhibition designer,None,None
11,Bennett Isle,Fiona,Jones,22,Daughter,Single,Female,University Student,None,None
11,Bennett Isle,Cheryl,Jones,21,Daughter,Single,Female,Interior and spatial designer,None,Muslim
11,Bennett Isle,Kyle,Jones,17,Son,NA,Male,Student,None,NA
12,Bennett Isle,Paula,Hutchinson,39,Head,Divorced,Female,Unemployed,None,None
12,Bennett Isle,Kathryn,Hutchinson,13,Daughter,NA,Female,Student,None,NA
12,Bennett Isle,Cheryl,Hutchinson,9,Daughter,NA,Female,Student,None,NA
13,Bennett Isle,Kerry,Henderson,52,Head,Married,Female,Best boy,None,None
13,Bennett Isle,Benjamin,Henderson,54,Husband,Married,Male,"Psychologist, forensic",None,None
14,Bennett Isle,Charlotte,Hayes,32,Head,Married,Female,Unemployed,None,Catholic
14,Bennett Isle,Graeme,Hayes,36,Husband,Married,Male,Data scientist,None,None
14,Bennett Isle,Alex,Hayes,15,Son,NA,Male,Student,None,NA
14,Bennett Isle,Stephen,Hayes,11,Son,NA,Male,Student,None,NA
14,Bennett Isle,Ronald,Hayes,7,Son,NA,Male,Student,None,NA
15,Bennett Isle,Georgia,Ferguson,25,Head,Divorced,Female,Translator,None,Christian
15,Bennett Isle,Gordon,Ferguson,4,Son,NA,Male,Child,None,NA
15,Bennett Isle,Beverley,Ferguson,1,Daughter,NA,Female,Child,None,NA
15,Bennett Isle,Jessica,Gould,38,Lodger,Single,Female,Curator,None,Christian
15,Bennett Isle,Stephanie,Stevens,21,Lodger,Single,Female,"Engineer, communications",None,None
16,Bennett Isle,Justin,King,65,Head,Divorced,Male,Clinical psychologist,None,Christian
17,Bennett Isle,Charlotte,Smart,32,Head,Single,Female,"Therapist, nutritional",None,None
17,Bennett Isle,Kyle,Bradshaw,36,Partner,Single,Male,Unemployed,None,None
17,Bennett Isle,Kyle,Smart,2,Son,NA,Male,Child,None,NA
18,Bennett Isle,Paige,Watson,88,Head,Widowed,Female,Retired Operations geologist,None,Christian
19,Bennett Isle,Michelle,Young,53,Head,Married,Female,Unemployed,None,Christian
19,Bennett Isle,Robert,Young,55,Husband,Married,Male,Barrister's clerk,None,Christian
19,Bennett Isle,Philip,Young,22,Son,Divorced,Male,University Student,None,Christian
19,Bennett Isle,Anne,Young,19,Daughter,Single,Female,University Student,None,Christian
19,Bennett Isle,Dorothy,Young,13,Daughter,NA,Female,Student,None,NA
20,Bennett Isle,Duncan,Marshall,70,Head,Widowed,Male,Retired Water engineer,None,Christian
20,Bennett Isle,Abbie,Ball,4,Granddaughter,NA,Female,Child,None,NA
21,Bennett Isle,Hannah,Price,51,Head,Single,Female,Brewing technologist,None,Christian
21,Bennett Isle,Wendy,Price,19,Daughter,Single,Female,University Student,None,Christian
22,Bennett Isle,Trevor,Johnson,39,Head,Married,Male,"Designer, ceramics/pottery",None,None
22,Bennett Isle,Joanne,Johnson,39,Wife,Married,Female,Bookseller,None,None
22,Bennett Isle,Terry,Johnson,20,Son,Single,Male,University Student,None,None
22,Bennett Isle,John,Johnson,1,Son,NA,Male,Child,None,NA
23,Bennett Isle,Darren,Chapman,22,Head,Single,Male,University Student,None,None
23,Bennett Isle,Adam,Morris,32,None,Single,Male,PhD Student,None,Methodist
24,Bennett Isle,Ann,Evans,36,Head,Married,Female,Public librarian,None,Christian
24,Bennett Isle,Graeme,Evans,34,Husband,Married,Male,Unemployed,None,None
24,Bennett Isle,Robert,Evans,5,Son,NA,Male,Student,None,NA
24,Bennett Isle,Tina,Evans,1,Daughter,NA,Female,Child,None,NA
24,Bennett Isle,Darren,Price,42,Visitor,Single,Male,Metallurgist,None,Catholic
25,Bennett Isle,Leigh,Edwards,31,Head,Divorced,Male,"Surveyor, minerals",None,Christian
25,Bennett Isle,Linda,Edwards,6,Daughter,NA,Female,Student,None,NA
26,Bennett Isle,Billy,Nolan,30,Head,Married,Male,Statistician,None,None
26,Bennett Isle,Kathleen,Nolan,25,Wife,Married,Female,Retail banker,None,None
27,Bennett Isle,John,Foster,79,Head,Widowed,Male,Retired Stage manager,None,Methodist
28,Bennett Isle,Gillian,Jarvis,46,Head,Single,Female,Publishing rights manager,None,Christian
28,Bennett Isle,Kevin,Price,48,Partner,Single,Male,Catering manager,None,Christian
29,Bennett Isle,Naomi,Bibi,48,Head,Married,Female,Printmaker,None,Methodist
29,Bennett Isle,Jeremy,Bibi,52,Husband,Married,Male,Office manager,None,Methodist
29,Bennett Isle,Carol,Bibi,6,Daughter,NA,Female,Student,None,NA
30,Bennett Isle,Aimee,Taylor,49,Head,Married,Female,"Conservation officer, historic buildings",None,Catholic
30,Bennett Isle,Derek,Taylor,52,Husband,Married,Male,Podiatrist,None,Catholic
30,Bennett Isle,Lee,Taylor,19,Son,Divorced,Male,Chartered loss adjuster,None,Catholic
30,Bennett Isle,Ellie,Taylor,15,Daughter,NA,Female,Student,None,NA
31,Bennett Isle,Caroline,Morgan,70,Head,Married,Female,Retired Financial risk analyst,None,Methodist
31,Bennett Isle,Christopher,Morgan,70,Husband,Married,Male,"Retired Editor, commissioning",None,None
32,Bennett Isle,Emma,Andrews,56,Head,Single,Female,"Conservator, museum/gallery",None,Methodist
32,Bennett Isle,Martyn,Baker,31,None,Single,Male,"Programme researcher, broadcasting/film/video",None,None
33,Bennett Isle,Mandy,Wilkins,70,Head,Widowed,Female,Retired Operational researcher,None,Christian
34,Bennett Isle,Tony,Hudson,20,Head,Married,Male,University Student,None,None
34,Bennett Isle,Paula,Hudson,19,Wife,Married,Female,University Student,None,None
35,Bennett Isle,Rita,Robinson,40,Head,Married,Female,Microbiologist,None,None
35,Bennett Isle,Ross,Robinson,45,Husband,Married,Male,"Education officer, community",None,None
35,Bennett Isle,Grace,Bevan,50,Lodger,Single,Female,Armed forces operational officer,None,Christian
35,Bennett Isle,Jenna,Jones,23,Lodger,Divorced,Female,Health and safety adviser,None,None
36,Bennett Isle,Zoe,Wong,75,Head,Married,Female,Retired Financial trader,None,Catholic
36,Bennett Isle,Steven,Wong,78,Husband,Married,Male,Retired Field seismologist,None,Catholic
36,Bennett Isle,Bethany,Wong,44,Daughter,Single,Female,Dance movement psychotherapist,None,Catholic
36,Bennett Isle,Elaine,Wong,42,Daughter,Single,Female,Curator,None,None
36,Bennett Isle,Leah,Wong,38,Daughter,Single,Female,Investment analyst,None,None
37,Bennett Isle,Nathan,Cooper,42,Head,Single,Male,Wellsite geologist,None,None
37,Bennett Isle,Joan,Lamb,39,Partner,Single,Female,Speech and language therapist,None,None
38,Bennett Isle,Lisa,Holloway,77,Head,Widowed,Female,"Retired Surveyor, hydrographic",None,Methodist
38,Bennett Isle,Sheila,Holloway,41,Daughter,Single,Female,Catering manager,None,None
38,Bennett Isle,Mohamed,Holloway,41,Son,Single,Male,Legal executive,None,Methodist
38,Bennett Isle,Hazel,Holloway,37,Daughter,Single,Female,Commissioning editor,None,Methodist
38,Bennett Isle,Dylan,Holloway,31,Son,Single,Male,Catering manager,None,Methodist
39,Bennett Isle,Jade,Waters,62,Head,Single,Female,"Engineer, materials",None,Catholic
39,Bennett Isle,Suzanne,Wilson,34,None,Single,Female,"Education officer, environmental",None,None
39,Bennett Isle,Harriet,Wilson,53,None,Single,Female,Lobbyist,None,Catholic
40,Bennett Isle,Rosie,Hill,75,Head,Widowed,Female,Retired Computer games developer,None,Christian
41,Bennett Isle,Irene,Hammond,33,Head,Single,Female,Orthoptist,None,None
41,Bennett Isle,Steven,Bird,30,Partner,Single,Male,Financial controller,None,None
41,Bennett Isle,Liam,Hammond,7,Son,NA,Male,Student,None,NA
41,Bennett Isle,Gordon,Hammond,5,Son,NA,Male,Student,None,NA
1,Orchard Avenue,Shaun,Johnson,58,Head,Married,Male,"Surveyor, commercial/residential",None,Catholic
1,Orchard Avenue,Katie,Johnson,56,Wife,Married,Female,Personal assistant,None,Catholic
1,Orchard Avenue,Gavin,Johnson,5,Grandson,NA,Male,Student,None,NA
2,Orchard Avenue,Rachael,Gilbert,21,Head,Married,Female,University Student,None,None
2,Orchard Avenue,Timothy,Gilbert,21,Husband,Married,Male,University Student,None,None
2,Orchard Avenue,Lawrence,Gill,41,Lodger,Single,Male,"Pharmacist, hospital",None,Christian
3,Orchard Avenue,Jean,Singh,35,Head,Married,Female,Academic librarian,None,Christian
3,Orchard Avenue,Iain,Singh,40,Husband,Married,Male,Exhibition designer,None,Christian
3,Orchard Avenue,Irene,Singh,13,Daughter,NA,Female,Student,None,NA
4,Orchard Avenue,Rachael,Barber-Griffiths,43,Head,Married,Female,Speech and language therapist,None,Catholic
4,Orchard Avenue,Ronald,Barber-Griffiths,47,Husband,Married,Male,Interpreter,None,Catholic
4,Orchard Avenue,Hannah,Singh,19,Visitor,Single,Female,University Student,None,None
5,Orchard Avenue,Natalie,Jarvis,39,Head,Married,Female,Air traffic controller,None,Catholic
5,Orchard Avenue,Leslie,Jarvis,40,Husband,Married,Male,Unemployed,None,Catholic
5,Orchard Avenue,Joseph,Shah,63,Lodger,Single,Male,Location manager,None,Christian
6,Orchard Avenue,Margaret,Willis,29,Head,Divorced,Female,Curator,None,None
6,Orchard Avenue,Fiona,Davies,31,Lodger,Single,Female,Theatre director,None,Christian
6,Orchard Avenue,Donna,Barnes,19,Lodger,Single,Female,University Student,None,Methodist
6,Orchard Avenue,Jack,Thomas,22,Lodger,Single,Male,University Student,None,Christian
7,Orchard Avenue,Donald,Marshall,56,Head,Married,Male,Financial adviser,None,Christian
7,Orchard Avenue,Cheryl,Marshall,58,Wife,Married,Female,Metallurgist,None,Christian
7,Orchard Avenue,Clifford,Marshall,30,Son,Single,Male,"Designer, jewellery",None,Christian
8,Orchard Avenue,Rachael,Hall,55,Head,Married,Female,"Scientist, water quality",None,Christian
8,Orchard Avenue,Barry,Hall,53,Husband,Married,Male,"Scientist, marine",None,Christian
8,Orchard Avenue,Brenda,Hall,26,Daughter,Divorced,Female,Chartered certified accountant,None,Christian
8,Orchard Avenue,Megan,Hall,23,Daughter,Divorced,Female,"Engineer, communications",None,Christian
8,Orchard Avenue,Rita,Hall,5,Daughter,NA,Female,Student,None,NA
9,Orchard Avenue,Paula,Walker,21,Head,Single,Female,University Student,None,Muslim
9,Orchard Avenue,Benjamin,Conway,22,None,Single,Male,University Student,None,Muslim
9,Orchard Avenue,Malcolm,Ward,20,None,Single,Male,University Student,None,Christian
10,Orchard Avenue,Donna,Edwards,51,Head,Married,Female,"Therapist, speech and language",None,Catholic
10,Orchard Avenue,Duncan,Edwards,50,Husband,Married,Male,Trade mark attorney,None,Catholic
10,Orchard Avenue,Kimberley,Edwards,17,Daughter,NA,Female,Student,None,NA
11,Orchard Avenue,Heather,Andrews,42,Head,Married,Female,"Geneticist, molecular",None,None
11,Orchard Avenue,Gregory,Andrews,44,Husband,Married,Male,Forensic psychologist,None,None
11,Orchard Avenue,Mohamed,Andrews,9,Son,NA,Male,Student,None,NA
12,Orchard Avenue,Tracy,Townsend,38,Head,Single,Female,Magazine journalist,None,Christian
12,Orchard Avenue,Leslie,Nash,43,Partner,Single,Male,Unemployed,None,Christian
12,Orchard Avenue,Sally,Townsend,14,Daughter,NA,Female,Student,None,NA
13,Orchard Avenue,Elaine,Moore,43,Head,Single,Female,"Designer, multimedia",None,None
13,Orchard Avenue,Karen,Moore,15,Daughter,NA,Female,Student,None,NA
14,Orchard Avenue,Lucy,Wong,26,Head,Single,Female,Careers information officer,None,None
14,Orchard Avenue,Ashley,Young,53,Lodger,Single,Male,Neurosurgeon,None,Catholic
14,Orchard Avenue,Henry,Young,19,Cousin,Single,Male,University Student,None,None
14,Orchard Avenue,Jessica,Wood,43,Lodger,Single,Female,Careers information officer,None,None
14,Orchard Avenue,Abdul,Rogers,44,Lodger,Single,Male,Materials engineer,None,Christian
15,Orchard Avenue,Carly,Davies,30,Head,Married,Female,"Designer, interior/spatial",None,Catholic
15,Orchard Avenue,Conor,Davies,31,Husband,Married,Male,Research scientist (life sciences),None,None
15,Orchard Avenue,Dorothy,Davies,4,Daughter,NA,Female,Child,None,NA
16,Orchard Avenue,Eileen,Fitzgerald,54,Head,Married,Female,Warden/ranger,None,Christian
16,Orchard Avenue,Damien,Fitzgerald,58,Husband,Married,Male,Unemployed,None,None
16,Orchard Avenue,Bradley,Fitzgerald,29,Son,Single,Male,Sport and exercise psychologist,None,Christian
17,Orchard Avenue,Gavin,Booth,20,Head,Single,Male,University Student,None,None
17,Orchard Avenue,Kelly,Holland,18,None,Single,Female,University Student,None,Methodist
17,Orchard Avenue,Sandra,Jordan,21,None,Single,Female,University Student,None,Sikh
17,Orchard Avenue,Rachel,Hussain,20,None,Single,Female,University Student,None,Methodist
17,Orchard Avenue,Rebecca,Ward,20,None,Single,Female,University Student,None,None
18,Orchard Avenue,Glenn,Simpson,55,Head,Widowed,Male,"Engineer, drilling",None,None
18,Orchard Avenue,Nathan,Simpson,9,Grandson,NA,Male,Student,None,NA
18,Orchard Avenue,Lucy,Simpson,7,Granddaughter,NA,Female,Student,None,NA
19,Orchard Avenue,Pamela,Holt,55,Head,Married,Female,"Pharmacist, hospital",None,Catholic
19,Orchard Avenue,Josh,Holt,58,Husband,Married,Male,Sports administrator,None,Catholic
19,Orchard Avenue,Dorothy,Holt,15,Daughter,NA,Female,Student,None,NA
19,Orchard Avenue,Elliott,Holt,11,Son,NA,Male,Student,None,NA
20,Orchard Avenue,Frances,Turner,45,Head,Married,Female,Chief Financial Officer,None,Christian
20,Orchard Avenue,Mohamed,Turner,43,Husband,Married,Male,Dealer,None,None
20,Orchard Avenue,Kayleigh,Turner,17,Daughter,NA,Female,Student,None,NA
20,Orchard Avenue,Eric,Turner,14,Son,NA,Male,Student,None,NA
21,Orchard Avenue,Glen,Moore,66,Head,Married,Male,Financial controller,None,Catholic
21,Orchard Avenue,Beth,Moore,65,Wife,Married,Female,Sports administrator,None,None
22,Orchard Avenue,Karen,Jones,38,Head,Divorced,Female,Quantity surveyor,None,None
22,Orchard Avenue,Colin,Jones,8,Son,NA,Male,Student,None,NA
22,Orchard Avenue,Anne,Jones,7,Daughter,NA,Female,Student,None,NA
23,Orchard Avenue,Helen,Chapman,32,Head,Single,Female,Claims inspector/assessor,None,None
23,Orchard Avenue,Teresa,Chapman,15,Daughter,NA,Female,Student,None,NA
23,Orchard Avenue,Jayne,Chapman,11,Daughter,NA,Female,Student,None,NA
24,Orchard Avenue,Linda,Mellor,51,Head,Married,Female,Ecologist,None,None
24,Orchard Avenue,Marcus,Mellor,53,Husband,Married,Male,Archivist,None,None
24,Orchard Avenue,Russell,Mellor,16,Son,NA,Male,Student,None,NA
25,Orchard Avenue,Diana,Jones,46,Head,Single,Female,Special effects artist,None,Christian
25,Orchard Avenue,Marian,Atkinson,54,None,Single,Female,Television production assistant,None,None
25,Orchard Avenue,Tracy,Hunter,36,None,Single,Female,Prison officer,None,Christian
26,Orchard Avenue,Chloe,Mistry,46,Head,Married,Female,Further education lecturer,None,Christian
26,Orchard Avenue,Bryan,Mistry,48,Husband,Married,Male,Horticultural therapist,None,Christian
26,Orchard Avenue,Damian,Mistry,16,Son,NA,Male,Student,None,NA
27,Orchard Avenue,Conor,Brown,38,Head,Married,Male,Social worker,None,None
27,Orchard Avenue,Eileen,Brown,36,Wife,Married,Female,Unemployed,None,None
27,Orchard Avenue,Elliott,Brown,1,Son,NA,Male,Child,None,NA
28,Orchard Avenue,Chloe,Parker,65,Head,Widowed,Female,Unemployed,None,Christian
28,Orchard Avenue,Kate,Parker,32,Daughter,Divorced,Female,Paramedic,None,Christian
28,Orchard Avenue,Arthur,Parker,30,Son,Single,Male,Bookseller,None,Christian
28,Orchard Avenue,Denis,Parker,28,Son,Divorced,Male,Museum education officer,None,Christian
29,Orchard Avenue,Yvonne,Jackson,37,Head,Single,Female,"Therapist, occupational",None,Catholic
29,Orchard Avenue,Leslie,Lambert,39,Partner,Single,Male,Nature conservation officer,None,None
29,Orchard Avenue,Shirley,Jackson,8,Daughter,NA,Female,Student,None,NA
30,Orchard Avenue,Rosie,Richards,44,Head,Married,Female,Ergonomist,None,Christian
30,Orchard Avenue,Callum,Richards,52,Husband,Married,Male,"Engineer, automotive",None,Christian
30,Orchard Avenue,Leanne,Richards,14,Daughter,NA,Female,Student,None,NA
31,Orchard Avenue,Billy,Kay,66,Head,Married,Male,Podiatrist,None,None
31,Orchard Avenue,Hazel,Kay,64,Wife,Married,Female,Visual merchandiser,None,None
32,Orchard Avenue,Alison,Byrne,43,Head,Single,Female,Actor,None,None
32,Orchard Avenue,Ross,Byrne,0,Son,NA,Male,Child,None,NA
32,Orchard Avenue,Carol,Elliott,24,Lodger,Single,Female,Glass blower/designer,None,Christian
32,Orchard Avenue,Martyn,Quinn,56,Lodger,Single,Male,"Surveyor, planning and development",None,Christian
32,Orchard Avenue,Allan,Cunningham,57,Lodger,Divorced,Male,Unemployed,None,None
32,Orchard Avenue,Abdul,Morgan,32,Lodger,Single,Male,Cabin crew,None,None
33,Orchard Avenue,Fiona,Cole,43,Head,Single,Female,Unemployed,None,Catholic
33,Orchard Avenue,Edward,Birch,49,Partner,Single,Male,Interior and spatial designer,None,Catholic
33,Orchard Avenue,James,Cole,15,Son,NA,Male,Student,None,NA
34,Orchard Avenue,Jenna,Harris,47,Head,Married,Female,Science writer,None,None
34,Orchard Avenue,Mohamed,Harris,49,Husband,Married,Male,Chartered accountant,None,None
34,Orchard Avenue,Alan,Harris,7,Son,NA,Male,Student,None,NA
35,Orchard Avenue,Janice,Evans,50,Head,Married,Female,"Psychologist, educational",None,Catholic
35,Orchard Avenue,Antony,Evans,51,Husband,Married,Male,Museum/gallery conservator,None,Catholic
35,Orchard Avenue,Joshua,Evans,20,Son,Single,Male,University Student,None,Catholic
35,Orchard Avenue,Lucy,Evans,15,Daughter,NA,Female,Student,None,NA
35,Orchard Avenue,Eileen,Evans,12,Daughter,NA,Female,Student,None,NA
36,Orchard Avenue,Kieran,Cooke,72,Head,Married,Male,"Retired Teacher, adult education",None,None
36,Orchard Avenue,Sharon,Cooke,74,Wife,Married,Female,Retired Radiation protection practitioner,None,None
36,Orchard Avenue,Denise,Cooke,3,Granddaughter,NA,Female,Child,None,NA
37,Orchard Avenue,Abigail,Williams,38,Head,Married,Female,Radio producer,None,Catholic
37,Orchard Avenue,Harry,Williams,37,Husband,Married,Male,Patent examiner,None,Catholic
37,Orchard Avenue,David,Williams-Williams,13,Son,NA,Male,Student,None,NA
38,Orchard Avenue,Sian,Henderson,61,Head,Married,Female,"Lighting technician, broadcasting/film/video",None,Christian
38,Orchard Avenue,Marcus,Henderson,63,Husband,Married,Male,Animal technologist,None,None
38,Orchard Avenue,Frank,Henderson,39,Son,Single,Male,Financial risk analyst,None,None
38,Orchard Avenue,Aimee,Henderson,32,Daughter,Single,Female,Mental health nurse,None,None
38,Orchard Avenue,Eleanor,Henderson,29,Daughter,Single,Female,"Buyer, retail",None,Christian
39,Orchard Avenue,Pauline,Bell,29,Head,Married,Female,"Engineer, site",None,Christian
